course,subject,yearRange,semesterGroup,semester,fileUrl,fileName,note
B.A. (Prog) Philosophy,Feminism,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/B.A.%20Program%20(Philosophy)/6/2110B.A%20(Prog)_Philosophy_VIth%20Sem_Feminism_2163_62107606_0001.pdf,B.A (Prog)_Philosophy_VIth Sem_Feminism_2163_62107606_0001,Prog | approx (auto-detected from title)
B.A. (Prog) Philosophy,Philosophy of Religion,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/B.A.%20Program%20(Philosophy)/6/2068B.A%20(Prog)_Philosophy_VIth%20Sem_Philosophy%20of%20Religion_2164_62107609_0001.pdf,B.A (Prog)_Philosophy_VIth Sem_Philosophy of Religion_2164_62107609_0001,Prog | approx (auto-detected from title)
B.A. (Prog) Philosophy,Philosophy of Religion,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/B.A.%20Program%20(Philosophy)/6/2082B.A%20(Prog)_Philosophy_VIth%20Sem_Philosophy%20of%20Religion_2253_62107609_0001.pdf,B.A (Prog)_Philosophy_VIth Sem_Philosophy of Religion_2253_62107609_0001,Prog | approx (auto-detected from title)
B.A. (Prog) Philosophy,Philosophy of Religion,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/B.A.%20Program%20(Philosophy)/6/2107B.A%20(Prog)_Philosophy_VIth%20Sem_Philosophy%20of%20Religion_2253_62107609_0001_0001.pdf,B.A (Prog)_Philosophy_VIth Sem_Philosophy of Religion_2253_62107609_0001,Prog | approx (auto-detected from title)
B.A. (Prog.) with Political Science as Major Discipline,"Human Rights, Gender and Environment",2024,Semester 6,6,"https://zhdce.ac.in/Previousyear_paper/2024/B.A.%20Program%20(Political%20Science)/6/2068B.A%20(Prog)_Political%20Science_VIth%20Sem_Human%20Rights,%20Gender%20and%20Environment_2045_62325602_0001.pdf","B.A (Prog)_Political Science_VIth Sem_Human Rights, Gender and Environment_2045_62325602_0001",Prog | approx (auto-detected from title)
B.Com (P),Advertising Personal Selling and Salesmanship,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/B.Com/6/2089B.Com%20(Prog)_Commerce_VIth%20Sem_Advertising%20Personal%20Selling%20and%20Salesmanship_555_52413613_0001.pdf,B.Com (Prog)_Commerce_VIth Sem_Advertising Personal Selling and Salesmanship_555_52413613_0001,Prog | approx (auto-detected from title)
B.Com (P),Entrepreneurship Development,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/B.Com/6/2102B.Com%20(Prog)_Commerce_VIth%20Sem_Entrepreneurship%20Development_558_52415605_0001.pdf,B.Com (Prog)_Commerce_VIth Sem_Entrepreneurship Development_558_52415605_0001,Prog | approx (auto-detected from title)
B.Com (P),Financial Markets and Institutions,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/B.Com/6/2117B.com%20(Prog)_Commerce_VIth%20Sem_Financial%20Markets%20and%20Institutions_564_52417605_0001.pdf,B.com (Prog)_Commerce_VIth Sem_Financial Markets and Institutions_564_52417605_0001,Prog | approx (auto-detected from title)
B.Com (P),Management Accounting,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/B.Com/6/2071B.Com%20(Prog)_Commerce_VIth%20Sem_Management%20Accounting_565_52417612_0001.pdf,B.Com (Prog)_Commerce_VIth Sem_Management Accounting_565_52417612_0001,Prog | approx (auto-detected from title)
B.A. (Prog.) with Arabic as Major Discipline,Composition,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2095DSE_B.A.%20(Prog)_Arabic_VIth%20Sem_Composition_2119_602017905.pdf,DSE_B.A. (Prog)_Arabic_VIth Sem_Composition_2119_602017905,Prog | approx (auto-detected from title)
B.A. (Prog.) with Arabic as Major Discipline,Khutoot-Ruq'ah & Naskh,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2119DSE_B.A.%20(Prog)_Arabic_VIth%20Sem_Khutoot-Ruq'ah%20&%20Naskh_2118_62017903_0001.pdf,DSE_B.A. (Prog)_Arabic_VIth Sem_Khutoot-Ruq'ah & Naskh_2118_62017903_0001,Prog | approx (auto-detected from title)
B.A. (Hons.) Bengali,Rabindrasahity,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2095DSE_B.A.%20(Prog)_Bengali_VIth%20Sem_Rabindrasahitya_2192_62087644_0001.pdf,DSE_B.A. (Prog)_Bengali_VIth Sem_Rabindrasahitya_2192_62087644_0001,Prog | approx (auto-detected from title)
B.A. (Hons.) Bengali,"Sisukishor Sahitya, Kalpabigyan, Goyenda Kahini, Rupkatha",2024,Semester 6,6,"https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2110DSE_B.A.%20(Prog)_Bengali_VIth%20Sem_Sisukishor%20Sahitya,%20Kalpabigyan,%20Goyenda%20Kahini,%20Rupkatha_2193_62087645_0001.pdf","DSE_B.A. (Prog)_Bengali_VIth Sem_Sisukishor Sahitya, Kalpabigyan, Goyenda Kahini, Rupkatha_2193_62087645_0001",Prog | approx (auto-detected from title)
B.A (Prog.) Economics as Major,Economic Development and Policy in India,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2078DSE_B.A.%20(Prog)_Economics_VIth%20Sem_Economic%20Development%20and%20Policy%20in%20India-II_2126_62277603_0001.pdf,DSE_B.A. (Prog)_Economics_VIth Sem_Economic Development and Policy in India-II_2126_62277603_0001,Prog | approx (auto-detected from title)
B.A (Prog.) Economics as Major,Economic Development and Policy in India,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2097DSE_B.A.%20(Prog)_Economics_VIth%20Sem_Economic%20Development%20and%20Policy%20in%20India-II_2213_62277603_0001.pdf,DSE_B.A. (Prog)_Economics_VIth Sem_Economic Development and Policy in India-II_2213_62277603_0001,Prog | approx (auto-detected from title)
B. A. (Prog) English,Children’s Literature,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2113DSE_B.A.%20(Prog)_English_VIth%20Sem_Children's%20Literature_2216_62037616_0001.pdf,DSE_B.A. (Prog)_English_VIth Sem_Children's Literature_2216_62037616_0001,Prog | approx (auto-detected from title)
B. A. (Prog) English,World Literatures,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2070DSE_B.A.%20(Prog)_English_VIth%20Sem_World%20Literature_2130_62037617_0001.pdf,DSE_B.A. (Prog)_English_VIth Sem_World Literature_2130_62037617_0001,Prog | approx (auto-detected from title)
B. A. (Prog) English,World Literatures,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2088DSE_B.A.%20(Prog)_English_VIth%20Sem_World%20Literature_2217_62037617_0001.pdf,DSE_B.A. (Prog)_English_VIth Sem_World Literature_2217_62037617_0001,Prog | approx (auto-detected from title)
B.A. (Prog) with Hindi,Sahityachintan,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2103DSE_B.A.%20(Prog)_Hindi_VIth%20Sem_Sahityachintan_2225_62057632_0001.pdf,DSE_B.A. (Prog)_Hindi_VIth Sem_Sahityachintan_2225_62057632_0001,Prog | approx (auto-detected from title)
B.A (Prog.) History as Major,Persian History of Persian Literature During Mughal Period,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/DSE-NEP/6/2120DSE_B.A.%20(Prog)_Persian_VIth%20Sem_History%20of%20Persian%20Literature%20During%20Mughal%20Period_2157_62097901_0001.pdf,DSE_B.A. (Prog)_Persian_VIth Sem_History of Persian Literature During Mughal Period_2157_62097901_0001,Prog | approx (auto-detected from title)
