course,subject,yearRange,semesterGroup,semester,fileUrl,fileName,note
BA(H) ENGLISH,PERSONALITY DEVELOPMENT AND COMMUNICATION,2025,Not Specified,,https://drive.google.com/file/d/1OZCWjixxd3DaJUqLiOdcYKsgekqPcysv/view?usp=sharing,,Paper Code 2036000005 | Syllabus: https://drive.google.com/file/d/1WXk-K8JEr-TuYc2PBAHhoAvg6ADYNs35/view?usp=drive_link
BA(H) ENGLISH,ROMANTIC LITERATURE,2025,Not Specified,,https://drive.google.com/file/d/1awFZTsjnJTz_chPsuaXeY6c5FsYzoG3q/view?usp=sharing,,Paper Code 2032102301 | Syllabus: https://drive.google.com/file/d/1YKGDSgy31XGNBOpxJeHdMqhLJKQ9-Mgp/view?usp=drive_link
BA(H) ENGLISH,TWENTIETH CENTURY POETRY & DRAMA,2025,Not Specified,,https://drive.google.com/file/d/16_AI8X3kvnDjfzH-ksjR_17LVJIuD-En/view?usp=sharing,,Paper Code 2032103501 | Syllabus: https://drive.google.com/file/d/1y3GTfHEvphnqMursyjb4JGnF15e6LZXC/view?usp=drive_link
BA(H) ENGLISH,VICTORIAN LITERATURE,2025,Not Specified,,https://drive.google.com/file/d/1W2LpYHi19TQaWI3yP9bk7RdSI9lTpnZJ/view?usp=sharing,,Paper Code 2032102302 | Syllabus: https://drive.google.com/file/d/1Ev2t8T5Xc1yGu1vrO5LfVcLaq4e2J7AZ/view?usp=drive_link
BA(H) HINDI,भारतीय साहित्य,2023,Not Specified,,https://drive.google.com/file/d/12k5p8wbQdAboWjqXAlpOzqrmsBdv8yUk/view?usp=drive_link,,Paper Code 2052102301 | Syllabus: https://drive.google.com/file/d/1nngJMjXWzWz6MagQoPg0IgA57SHHe0gM/view?usp=drive_link
BA(H) HINDI,सामान्य भाषा विज्ञान,2023,Not Specified,,https://drive.google.com/file/d/1j4hq2Kw-_QC2Yy-2L0Dk7s94upac5KUT/view?usp=drive_link,,Paper Code 2052102303 | Syllabus: https://drive.google.com/file/d/1uGE20uhg7XzX27h4UPC29xTVeGlx9515/view?usp=drive_link
BA(H) HINDI,हिंदी कविता (मध्य काल और आधुनिक काल),2023,Not Specified,,https://drive.google.com/file/d/1pzb94DO2F0eFPb03rDAHhcw4xEgCLMma/view?usp=drive_link,,Paper Code 2052201201 | Syllabus: https://drive.google.com/file/d/1Z9cUvFVYML9ThcwbApk-gtdxTHQ6EuPa/view?usp=drive_link
BA(H) HINDI,हिंदी कहानी,2023,Not Specified,,https://drive.google.com/file/d/1qM1lMEnMQbj8ep_trVNrxfzTMeJjpnwk/view?usp=drive_link,,Paper Code 2052101103 | Syllabus: https://drive.google.com/file/d/1G41BP0PWvAHB8dew2Wdv8YhNxHnGQjUz/view?usp=drive_link
BA(H) HINDI,हिंदी का मौखिक साहित्य और उसकी परंपरा,2023,Not Specified,,https://drive.google.com/file/d/1IcYTdtfqzP2s6vb_N3NXwqu3atMiWafk/view?usp=drive_link,,Paper Code 2052201202 | Syllabus: https://drive.google.com/file/d/1rKhG7nx-VSsRoHeCxFyZ7Vu3bW2sHT0M/view?usp=drive_link
BA(H) HINDI,हिंदी नाटक एवं एकांकी,2023,Not Specified,,https://drive.google.com/file/d/1WffThxORsWcKGx3vF929sqXCIZHMNPs-/view?usp=drive_link,,Paper Code 2052102302 | Syllabus: https://drive.google.com/file/d/1CvX5uekVE7TDjW69yXWFAZ4YGV_hLYT6/view?usp=drive_link
BA(H) HINDI,हिंदी निबंध एवं अन्य गद्य विधाएँ,2023,Not Specified,,https://drive.google.com/file/d/1NjMIMjQzemGPObjb9reg44_qCzw44fM4/view?usp=drive_link,,Paper Code 2052101203 | Syllabus: https://drive.google.com/file/d/1xqChV4vk892pZGVpkmzeR1RbS26CmNXH/view?usp=drive_link
