course,subject,yearrange,semestergroup,semester,fileurl,filename,note
B.A. (Hons.) Economics,International Trade,2025,Semester 6,6,https://drive.google.com/file/d/15yKEGLYjgzYNrgh0ZLArQ-EMN-8ZsKW4/view,2025_sem-6_dsc_upc-2272103601_qp-6037.pdf,UPC: 2272103601 | QP: 6037 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Law and Economics,2024,Semester 6,6,https://drive.google.com/file/d/1MdKjxmn3s9l57hD3ysv57-1x0s0qZeD8/view,2024_sem-6_dse_upc-12277615_qp-1655.pdf,UPC: 12277615 | QP: 1655 | Type: DSE | Scheme: CBCS
B.A. (Hons.) Economics,Money & Financial Markets,2024,Semester 6,6,https://drive.google.com/file/d/1AO3lZ0WMWKZkKzKI8IRH9bVrBDV9RpK4/view,2024_sem-6_dse_upc-12277606_qp-1651.pdf,UPC: 12277606 | QP: 1651 | Type: DSE | Scheme: CBCS
B.A. (Hons.) Economics,Research Methodology,2025,Semester 6,6,https://drive.google.com/file/d/1_IrrDJecHUul0OF7rwluMGcjdoMdu8FK/view,2025_sem-6_dse-15_upc-2273100019_qp-6216.pdf,UPC: 2273100019 | QP: 6216 | Type: DSE | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Sectoral Issue in Indian Economy,2025,Semester 6,6,https://drive.google.com/file/d/1h27xt_cqhNVb1pZhGPuXjvCvG-nnYkKS/view,2025_sem-6_dse-29_upc-2273100030_qp-6227_set-01.pdf,UPC: 2273100030 | QP: 6227 | Type: DSE | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Sectoral Issue in Indian Economy,2025,Semester 6,6,https://drive.google.com/file/d/1FOUDbowhwqPox6A73D69F55lugeKkal7/view,2025_sem-6_dse-29_upc-2273100030_qp-7553_set-02.pdf,UPC: 2273100030 | QP: 7553 | Type: DSE | Scheme: UGCF/NEP
B.A. (Hons.) Economics,Quantitative Methods,2026,Semester 7,7,https://drive.google.com/file/d/1gF_1Xw-9HLVVxgUDgjZyqJHd6Kyi3Xu7/view,2026_sem-7_dsc_upc-2272104701_qp-5098.pdf,UPC: 2272104701 | QP: 5098 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) History,History of India-I (From the Beginning to Fourth Century BCE),2026,Semester 1,1,https://drive.google.com/file/d/14z-hrG-G8cmGD3yTyG1Jbd-tMQ9umm6a/view,2026_sem-1_dsc-1_upc-2312101101_qp-5077.pdf,UPC: 2312101101 | QP: 5077 | Type: DSCC / DSC | Scheme: UGCF/NEP
B.A. (Hons.) History,History of the USA: Independence to Civil War,2026,Semester 1,1,https://drive.google.com/file/d/1VL35iBYF5qkTimUETCRZVm1kp5sHYi0t/view,2026_sem-1_dsc-3_upc-2312101103_qp-5394.pdf,UPC: 2312101103 | QP: 5394 | Type: DSC | Scheme: UGCF/NEP
B.A. (Hons.) History,History of India-II (c. 300 BCE-750 CE),2023,Semester 2,2,https://drive.google.com/file/d/1peA1ATFpZ6GgS3rcjwpaJgfvTZgOA3cI/view,2023_sem-2_dsc-1_upc-12311203.pdf,UPC: 12311203 | Type: Core/DSC | Scheme: Mixed (CBCS/UGCF)
